Number,Player,Matchweek,Matchday,Injured,Minutes_Last_Game,Minutes_Prev_3_Games,Minutes_Last_30d,Days_Since_Last_Injury_Related,Days_Since_Last_Injury_Any,age,Pos,Days_Rest,Short_Rest_Flag_le3d,Matches_Last_10d,High_Minute_Flag_10d_3x85,Starts_Last_5,Consecutive_Starts,Rolling_Minutes_7d,Rolling_Minutes_28d,Minutes
10,James Maddison,3,2024-08-31,0,78.0,78.0,156.0,,,,,,,1,,,,,,0.0
11,,3,2024-08-31,0,0.0,0.0,62.0,,,,,,,0,,,,,,0.0
13,Destiny Udogie,3,2024-08-31,0,72.0,72.0,162.0,,,22.0,DF,,,1,,,,,,0.0
14,,3,2024-08-31,0,18.0,18.0,31.0,,,,,,,1,,,,,,0.0
15,Lucas Bergvall,3,2024-08-31,0,12.0,12.0,25.0,,,19.0,MF,,,1,,,,,,0.0
17,Cristian Romero,3,2024-08-31,0,90.0,90.0,180.0,,,27.0,DF,,,1,,,,,,0.0
19,Dominic Solanke,3,2024-08-31,1,0.0,0.0,90.0,,0.0,,,,,0,,,,,,0.0
20,,3,2024-08-31,0,88.0,178.0,285.0,,,,,3.0,1.0,3,0.0,2.0,1.0,105.0,195.0,90.0
21,Dejan Kulusevski,3,2024-08-31,0,66.0,66.0,78.0,,,,,,,1,,,,,,0.0
22,Brennan Johnson,3,2024-08-31,0,90.0,90.0,167.0,,,24.0,FW,,,1,,,,,,0.0
23,,3,2024-08-31,0,90.0,90.0,179.0,,,,,,,1,,,,,,0.0
24,Djed Spence,3,2024-08-31,0,18.0,18.0,19.0,,,25.0,DF,,,1,,,,,,0.0
28,Wilson Odobert,3,2024-08-31,0,66.0,66.0,155.0,,,20.0,"FW,MF",,,1,,,,,,0.0
29,Pape Matar Sarr,3,2024-08-31,0,0.0,0.0,0.0,,,23.0,MF,,,0,,,,,,0.0
30,Rodrigo Bentancur,3,2024-08-31,1,0.0,0.0,77.0,,0.0,28.0,MF,,,0,,,,,,0.0
37,Micky van de Ven,3,2024-08-31,1,90.0,90.0,180.0,,0.0,24.0,DF,,,1,,,,,,0.0
3,Radu Dragusin,4,2024-09-14,0,0.0,0.0,270.0,,,,,,,2,,,,,,0.0
4,Kevin Danso,4,2024-09-14,1,0.0,0.0,270.0,,0.0,27.0,DF,,,0,,,,,,0.0
